,folder_name,auc modified_BRM_cosine_similarity_,auc minmax norm modified_BRM_cosine_similarity_,auc std norm modified_BRM_cosine_similarity_,auc minmax std norm modified_BRM_cosine_similarity_,folder_name,auc modified_BRM_manhattan_distances_,auc minmax norm modified_BRM_manhattan_distances_,auc std norm modified_BRM_manhattan_distances_,auc minmax std norm modified_BRM_manhattan_distances_,folder_name,auc modified_BRM_euclidean_distances_,auc minmax norm modified_BRM_euclidean_distances_,auc std norm modified_BRM_euclidean_distances_,auc minmax std norm modified_BRM_euclidean_distances_,folder_name,auc GaussianMixture,auc minmax norm GaussianMixture,auc std norm GaussianMixture,auc minmax std norm GaussianMixture,folder_name,auc IsolationForest,auc minmax norm IsolationForest,auc std norm IsolationForest,auc minmax std norm IsolationForest,folder_name,auc OneClassSVM,auc minmax norm OneClassSVM,auc std norm OneClassSVM,auc minmax std norm OneClassSVM
0,ecoli-0-1_vs_5,0.5511363636363636,0.5227272727272727,0.5170454545454546,0.5284090909090908,ecoli-0-1_vs_5,0.9204545454545454,0.9204545454545454,0.9204545454545454,0.9261363636363636,ecoli-0-1_vs_5,0.9261363636363636,0.9261363636363636,0.9261363636363636,0.9261363636363636,ecoli-0-1-4-7_vs_2-3-5-6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,ecoli-0-1_vs_5,0.8409090909090909,0.8977272727272727,0.8579545454545454,0.8693181818181818,ecoli-0-1_vs_5,0.875,0.8693181818181819,0.8920454545454546,0.8920454545454546
1,ecoli-0-2-3-4_vs_5,0.6621621621621621,0.668918918918919,0.6216216216216217,0.6283783783783783,ecoli-0-2-3-4_vs_5,0.9256756756756755,0.9189189189189187,0.9189189189189187,0.9189189189189187,ecoli-0-2-3-4_vs_5,0.9189189189189187,0.9189189189189187,0.9189189189189187,0.9189189189189187,yeast1,0.5261765678386421,0.5261765678386421,0.5261765678386421,0.5261765678386421,ecoli-0-2-3-4_vs_5,0.8918918918918919,0.8783783783783784,0.8783783783783784,0.8783783783783784,ecoli-0-2-3-4_vs_5,0.9054054054054056,0.8783783783783784,0.8986486486486487,0.8986486486486487
2,lymphography-normal-fibrosis,0.9107142857142858,0.9107142857142858,0.9107142857142858,0.9107142857142858,lymphography-normal-fibrosis,1.0,1.0,1.0,1.0,lymphography-normal-fibrosis,1.0,1.0,1.0,1.0,dermatology-6,1.0,1.0,1.0,1.0,lymphography-normal-fibrosis,1.0,1.0,1.0,1.0,lymphography-normal-fibrosis,0.9642857142857144,1.0,1.0,1.0
3,car-vgood,0.5,0.5,0.5,0.5,car-vgood,0.6137676137676138,0.6096096096096095,0.6523446523446523,0.6103026103026103,car-vgood,0.5384615384615384,0.5751905751905751,0.5368445368445368,0.5756525756525757,abalone19,0.5904704463208685,0.5904704463208685,0.5906714917571372,0.5906714917571372,car-vgood,0.8729498729498729,0.8946638946638946,0.8431508431508432,0.9002079002079002,car-vgood,0.9949179949179948,0.9949179949179948,0.9951489951489952,0.9951489951489952
4,glass1,0.5601851851851852,0.5625,0.5555555555555556,0.5601851851851851,glass1,0.6597222222222222,0.6550925925925926,0.6597222222222222,0.6527777777777778,glass1,0.6388888888888888,0.6342592592592593,0.6388888888888888,0.6481481481481481,poker-8-9_vs_6,0.7390410958904109,0.7390410958904109,0.7390410958904109,0.7390410958904109,glass1,0.5416666666666667,0.5439814814814814,0.548611111111111,0.5347222222222223,glass1,0.5763888888888891,0.5277777777777778,0.5578703703703703,0.5578703703703703
5,ecoli-0-3-4_vs_5,0.875,0.8819444444444444,0.8888888888888888,0.8819444444444444,ecoli-0-3-4_vs_5,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,ecoli-0-3-4_vs_5,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,winequality-red-8_vs_6-7,0.7949101796407185,0.784431137724551,0.784431137724551,0.784431137724551,ecoli-0-3-4_vs_5,0.9375,0.9166666666666669,0.8888888888888888,0.9305555555555556,ecoli-0-3-4_vs_5,0.9305555555555556,0.9236111111111112,0.9513888888888888,0.9513888888888888
6,zoo-3,0.95,0.95,0.95,0.95,zoo-3,1.0,1.0,1.0,1.0,zoo-3,1.0,1.0,1.0,1.0,winequality-white-9_vs_4,0.5454545454545454,0.6060606060606061,0.6060606060606061,0.6060606060606061,zoo-3,0.6,0.6,0.6,0.65,zoo-3,0.95,0.9,0.7999999999999999,0.7999999999999999
7,wisconsinImb,0.9397237827715356,0.9401919475655429,0.939255617977528,0.9307116104868912,wisconsinImb,0.9941479400749064,0.9939138576779026,0.9941479400749064,0.9936797752808988,wisconsinImb,0.9922752808988764,0.9929775280898876,0.9932116104868912,0.9932116104868912,kr-vs-k-zero_vs_eight,0.8735431235431235,0.8735431235431235,0.8735431235431235,0.8735431235431235,wisconsinImb,0.9978932584269664,0.9967228464419476,0.9976591760299626,0.9978932584269664,wisconsinImb,0.9948501872659176,0.9934456928838952,0.9915730337078652,0.9915730337078652
8,ecoli-0-4-6_vs_5,0.9594594594594594,0.9797297297297296,0.9797297297297296,0.9594594594594594,ecoli-0-4-6_vs_5,1.0,1.0,1.0,1.0,ecoli-0-4-6_vs_5,1.0,1.0,1.0,1.0,ecoli-0-2-3-4_vs_5,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,ecoli-0-4-6_vs_5,0.9324324324324323,0.9797297297297296,0.9459459459459459,0.9121621621621622,ecoli-0-4-6_vs_5,0.9864864864864864,0.9797297297297296,0.9932432432432432,0.9932432432432432
9,ecoli-0-1-4-7_vs_5-6,0.5612903225806452,0.5709677419354838,0.5645161290322579,0.5645161290322579,ecoli-0-1-4-7_vs_5-6,0.8741935483870968,0.8709677419354839,0.8677419354838709,0.8774193548387097,ecoli-0-1-4-7_vs_5-6,0.8096774193548387,0.8387096774193549,0.8096774193548387,0.8161290322580645,ecoli3,0.7939110070257611,0.7939110070257611,0.7939110070257611,0.7939110070257611,ecoli-0-1-4-7_vs_5-6,0.7677419354838709,0.8387096774193548,0.8258064516129032,0.7451612903225807,ecoli-0-1-4-7_vs_5-6,0.7548387096774194,0.7064516129032259,0.7451612903225806,0.7451612903225806
